id	title	kind	module	area	render	file	line
finance.payroll.assignedWork	Approval and Activity	local	payroll		() => <ApprovalsWidget data={data} />	src/components/sections/Finance/PayrollCommandCenter.tsx	485
finance.payroll.deadlines	Upcoming Deadlines	local	payroll		() => <DeadlinesWidget data={data} onOpen={openRun} />	src/components/sections/Finance/PayrollCommandCenter.tsx	486
finance.payroll.kpi.activeRuns	Active Runs	local	payroll		() => <KpiTile icon="fa-layer-group" tone="teal" label="Active Runs" value={kk?.activeRuns ?? 0} sub="In the reporting window" loading={kpiLoading}         link={{ label: 'View runs', onClick: () => focusRegister('all') }} />	src/components/sections/Finance/PayrollCommandCenter.tsx	467
finance.payroll.kpi.employeesDue	Employees Due	local	payroll		() => <KpiTile icon="fa-users" tone="blue" label="Employees Due" value={kk?.employeesDue ?? 0} sub="Current calc population" loading={kpiLoading}         link={{ label: 'View runs', onClick: () => focusRegister('all') }} />	src/components/sections/Finance/PayrollCommandCenter.tsx	470
finance.payroll.kpi.grossPayroll	Gross Payroll	local	payroll		() => <KpiTile icon="fa-coins" tone="green" label="Gross Payroll" value={kk ? fmtTTDc(kk.grossPayroll.amount) : '—'} sub="Window total" loading={kpiLoading}         link={{ label: 'View runs', onClick: () => focusRegister('all') }} />	src/components/sections/Finance/PayrollCommandCenter.tsx	473
finance.payroll.kpi.netPayroll	Net Payroll	local	payroll		() => <KpiTile icon="fa-wallet" tone="teal" label="Net Payroll" value={kk ? fmtTTDc(kk.netPayroll.amount) : '—'} sub="Window total" loading={kpiLoading}         link={{ label: 'View runs', onClick: () => focusRegister('all') }} />	src/components/sections/Finance/PayrollCommandCenter.tsx	476
finance.payroll.kpi.nextPay	Next Pay Date	local	payroll		() => <KpiTile icon="fa-calendar-day" tone="blue" label="Next Pay Date"         value={kk ? (nextPay.mon ? `${nextPay.day} ${nextPay.mon}` : '—') : '—'}         sub={kk?.nextPayDate.runNo ? `Run ${kk.nextPayDate.runNo}` : 'No scheduled run'} loading={kpiLoading}         link={{ label: kk?.nextPayDate.runNo ? 'Open run' : 'View runs', onClick: () => (kk?.nextPayDate.runId ? openRun(kk.nextPayDate.runId) : focusRegister('all')) }} />	src/components/sections/Finance/PayrollCommandCenter.tsx	462
finance.payroll.releaseImpact	Release Impact	local	payroll		() => <ImpactWidget data={data} onOpen={openRun} />	src/components/sections/Finance/PayrollCommandCenter.tsx	488
finance.payroll.releaseReadiness	Release Readiness	local	payroll		() => <ReadinessWidget data={data} onOpen={openRun} />	src/components/sections/Finance/PayrollCommandCenter.tsx	487
finance.payroll.runRegister	Payroll Runs	local	payroll		() => <RunRegister data={data} tab={tab} setTab={setTab} searchInput={searchInput} setSearchInput={setSearchInput} cursor={cursor} setCursor={setCursor} onOpen={openRun} onNewRun={() => setWizOpen(true)} />	src/components/sections/Finance/PayrollCommandCenter.tsx	489
finance.statutory.deadlines	Upcoming Deadlines	local	finance		renderDeadlines	src/components/sections/Finance/StatutoryDashboard.tsx	715
finance.statutory.kpi.activeVersion	Active Version	local	finance		renderKpiActive	src/components/sections/Finance/StatutoryDashboard.tsx	721
finance.statutory.kpi.approvals	Pending Approvals	local	finance		renderKpiApprovals	src/components/sections/Finance/StatutoryDashboard.tsx	726
finance.statutory.kpi.components	Pay Components	local	finance		renderKpiComponents	src/components/sections/Finance/StatutoryDashboard.tsx	723
finance.statutory.kpi.drafts	Draft Versions	local	finance		renderKpiDrafts	src/components/sections/Finance/StatutoryDashboard.tsx	722
finance.statutory.kpi.nisClasses	NIS Classes	local	finance		renderKpiNis	src/components/sections/Finance/StatutoryDashboard.tsx	724
finance.statutory.kpi.verifyQueue	Verification Queue (KPI)	local	finance		renderKpiVerify	src/components/sections/Finance/StatutoryDashboard.tsx	725
finance.statutory.nisChart	NIS Contribution Schedule	local	finance		renderChart	src/components/sections/Finance/StatutoryDashboard.tsx	713
finance.statutory.readiness	Statutory Readiness	local	finance		renderReadiness	src/components/sections/Finance/StatutoryDashboard.tsx	714
finance.statutory.register	Statutory Register	local	finance		renderRegister	src/components/sections/Finance/StatutoryDashboard.tsx	716
hr.employees.register	Employee Register	local	hr		renderRegister	src/components/sections/HR/EmployeeMaster.tsx	411
hr.onboarding.activationReadiness	Activation Readiness	registry	hr	onboarding	OnbActivationReadinessWidget	src/ui/widgets/registry.hrOnboarding.tsx	326
hr.onboarding.activeCases	Active Cases	registry	hr	onboarding	OnbActiveCasesWidget	src/ui/widgets/registry.hrOnboarding.tsx	254
hr.onboarding.blockedCases	Blocked Cases	registry	hr	onboarding	OnbBlockedCasesWidget	src/ui/widgets/registry.hrOnboarding.tsx	302
hr.onboarding.case.activeTasks	Active Tasks	local	hr		() => wcard('Active Tasks', 'fa-list-check', tasksBody(), <button class="obx-btn primary obx-btn-sm" onClick={openAddTask}>+ Add</button>)	src/components/sections/HR/OnboardingCaseDetail.tsx	317
hr.onboarding.case.blockersTable	Blockers	local	hr		() => wcard('Blockers', 'fa-triangle-exclamation', blockersBody())	src/components/sections/HR/OnboardingCaseDetail.tsx	318
hr.onboarding.case.customActions	Custom Actions	local	hr		() => wcard('Custom Actions', 'fa-bolt', actionsBody(), <button class="obx-btn primary obx-btn-sm" onClick={openAddAction}>+ Add</button>)	src/components/sections/HR/OnboardingCaseDetail.tsx	320
hr.onboarding.case.handoffsTable	Handoffs	local	hr		() => wcard('Handoffs', 'fa-arrow-right-arrow-left', handoffsBody())	src/components/sections/HR/OnboardingCaseDetail.tsx	319
hr.onboarding.dueThisWeek	Due This Week	registry	hr	onboarding	OnbDueThisWeekWidget	src/ui/widgets/registry.hrOnboarding.tsx	278
hr.onboarding.health	Onboarding Health	registry	hr	onboarding	OnbHealthWidget	src/ui/widgets/registry.hrOnboarding.tsx	350
hr.onboarding.packageReadiness	Package Readiness	registry	hr	onboarding	OnbPackageReadinessWidget	src/ui/widgets/registry.hrOnboarding.tsx	373
hr.onboarding.recentActivity	Recent Activity	registry	hr	onboarding	OnbRecentActivityWidget	src/ui/widgets/registry.hrOnboarding.tsx	400
